"","1:length(ImmuneSeuratObject@meta.data$nFeature_RNA)","CellID","CellType"
"1",1,"SRR10777225","Tcell"
"2",2,"SRR10777245","Macrophage"
"3",3,"SRR10777260","Bcell"
"4",4,"SRR10777265","Tcell"
"5",5,"SRR10777360","Bcell_PB"
"6",6,"SRR10777365","Bcell_PB"
"7",7,"SRR10777380","Bcell_PB"
"8",8,"SRR10777390","Macrophage"
"9",9,"SRR10777415","Macrophage"
"10",10,"SRR10777460","Tcell"
"11",11,"SRR10777480","Macrophage"
"12",12,"SRR10777485","Bcell_PB"
"13",13,"SRR10777505","Bcell_Mem"
"14",14,"SRR10777530","Macrophage"
"15",15,"SRR10777535","Bcell_PB"
"16",16,"SRR10777540","Macrophage"
"17",17,"SRR10777545","Tcell"
"18",18,"SRR10777555","Bcell"
"19",19,"SRR10777585","Bcell_PB"
"20",20,"SRR10777595","Tcell"
"21",21,"SRR10777605","Tcell"
"22",22,"SRR10777615","Bcell_Mem"
"23",23,"SRR10777655","Tcell"
"24",24,"SRR10777670","Tcell"
"25",25,"SRR10777715","Macrophage"
"26",26,"SRR10777745","Bcell_PB"
"27",27,"SRR10777760","Macrophage"
"28",28,"SRR10777780","Macrophage"
"29",29,"SRR10777790","Tcell"
"30",30,"SRR10777795","Bcell_PB"
"31",31,"SRR10777815","Bcell_Mem"
"32",32,"SRR10777825","Tcell"
"33",33,"SRR10777830","Macrophage"
"34",34,"SRR10777840","Macrophage"
"35",35,"SRR10777865","Macrophage"
"36",36,"SRR10777875","Tcell"
"37",37,"SRR10777925","Tcell"
"38",38,"SRR10777935","Macrophage"
"39",39,"SRR10777960","Tcell"
"40",40,"SRR10777975","Bcell_PB"
"41",41,"SRR10777990","Bcell_PB"
"42",42,"SRR10778000","Tcell"
"43",43,"SRR10778015","Tcell"
"44",44,"SRR10778035","Macrophage"
"45",45,"SRR10778065","Macrophage"
"46",46,"SRR10778080","Bcell_PB"
"47",47,"SRR10778085","Bcell_PB"
"48",48,"SRR10778115","Bcell_Mem"
"49",49,"SRR10778145","Tcell"
"50",50,"SRR10778200","Tcell"
"51",51,"SRR10778215","Macrophage"
"52",52,"SRR10778225","Bcell_PB"
"53",53,"SRR10778230","Macrophage"
"54",54,"SRR10778260","Tcell"
"55",55,"SRR10778305","Dendritic"
"56",56,"SRR10778320","Tcell"
"57",57,"SRR10778340","Macrophage"
"58",58,"SRR10778425","Bcell"
"59",59,"SRR10778435","Macrophage"
"60",60,"SRR10778445","Tcell"
"61",61,"SRR10778470","Macrophage"
"62",62,"SRR10778485","Tcell"
"63",63,"SRR10778510","Bcell_PB"
"64",64,"SRR10778520","Tcell"
"65",65,"SRR10778530","Neutrophils"
"66",66,"SRR10778535","Bcell_PB"
"67",67,"SRR10778550","Macrophage"
"68",68,"SRR10778565","Macrophage"
"69",69,"SRR10778585","Tcell"
"70",70,"SRR10778595","Macrophage"
"71",71,"SRR10778605","Macrophage"
"72",72,"SRR10778620","Tcell"
"73",73,"SRR10778655","Tcell"
"74",74,"SRR10778660","Bcell_PB"
"75",75,"SRR10778700","Bcell_PB"
"76",76,"SRR10778720","Bcell_PB"
"77",77,"SRR10778760","Tcell"
"78",78,"SRR10778770","Macrophage"
"79",79,"SRR10778775","Tcell"
"80",80,"SRR10778825","Macrophage"
"81",81,"SRR10778830","Tcell"
"82",82,"SRR10778865","Tcell"
"83",83,"SRR10778880","Tcell"
"84",84,"SRR10778890","Bcell_PB"
"85",85,"SRR10778895","Tcell"
"86",86,"SRR10778905","Bcell_PB"
"87",87,"SRR10778910","Macrophage"
"88",88,"SRR10778915","Tcell"
"89",89,"SRR10778945","Macrophage"
"90",90,"SRR10778955","Tcell"
"91",91,"SRR10778995","Tcell"
"92",92,"SRR10779010","Tcell"
"93",93,"SRR10779045","Macrophage"
"94",94,"SRR10779050","Bcell_Mem"
"95",95,"SRR10779145","Tcell"
"96",96,"SRR10779205","Tcell"
"97",97,"SRR10779210","Tcell"
"98",98,"SRR10779270","Macrophage"
"99",99,"SRR10779350","Neutrophils"
"100",100,"SRR10779365","Macrophage"
"101",101,"SRR10779445","Tcell"
"102",102,"SRR10779465","Macrophage"
"103",103,"SRR10779510","Bcell_PB"
"104",104,"SRR10779540","Macrophage"
"105",105,"SRR10779560","Tcell"
"106",106,"SRR10779600","Dendritic"
"107",107,"SRR10779615","Macrophage"
"108",108,"SRR10779640","Bcell_Mem"
"109",109,"SRR10779665","Macrophage"
"110",110,"SRR10779670","Tcell"
"111",111,"SRR10779730","Bcell_Mem"
"112",112,"SRR10779755","Tcell"
"113",113,"SRR10779765","Bcell_Mem"
"114",114,"SRR10779770","Tcell"
"115",115,"SRR10779785","Tcell"
"116",116,"SRR10779800","Bcell_PB"
"117",117,"SRR10779805","Tcell"
"118",118,"SRR10779815","Macrophage"
"119",119,"SRR10779895","Tcell"
"120",120,"SRR10779915","Bcell_PB"
"121",121,"SRR10779920","Bcell"
"122",122,"SRR10779940","Bcell_Mem"
"123",123,"SRR10779950","Bcell_PB"
"124",124,"SRR10779980","Tcell"
"125",125,"SRR10780010","Bcell_PB"
"126",126,"SRR10780015","Bcell_PB"
"127",127,"SRR10780025","Tcell"
"128",128,"SRR10780035","Macrophage"
"129",129,"SRR10780060","Macrophage"
"130",130,"SRR10780075","Macrophage"
"131",131,"SRR10780080","Tcell"
"132",132,"SRR10780110","Tcell"
"133",133,"SRR10780130","Bcell_PB"
"134",134,"SRR10780165","pDCs"
"135",135,"SRR10780175","Bcell_PB"
"136",136,"SRR10780200","Bcell_PB"
"137",137,"SRR10780230","Bcell_PB"
"138",138,"SRR10780240","Macrophage"
"139",139,"SRR10780260","Tcell"
"140",140,"SRR10780275","Macrophage"
"141",141,"SRR10780320","Tcell"
"142",142,"SRR10780365","Macrophage"
"143",143,"SRR10780380","Tcell"
"144",144,"SRR10780525","Tcell"
"145",145,"SRR10780535","Macrophage"
"146",146,"SRR10780555","Macrophage"
"147",147,"SRR10780560","Tcell"
"148",148,"SRR10780590","Bcell_PB"
"149",149,"SRR10780635","Tcell"
"150",150,"SRR10780670","Tcell"
"151",151,"SRR10780715","Bcell_PB"
"152",152,"SRR10780730","Tcell"
"153",153,"SRR10780735","Bcell_PB"
"154",154,"SRR10780755","Macrophage"
"155",155,"SRR10780800","Bcell_Mem"
"156",156,"SRR10780850","Tcell"
"157",157,"SRR10780860","Bcell_Mem"
"158",158,"SRR10780900","Neutrophils"
"159",159,"SRR10780905","Bcell_PB"
"160",160,"SRR10780910","Tcell"
"161",161,"SRR10780920","Tcell"
"162",162,"SRR10780960","Bcell_Mem"
"163",163,"SRR10780965","Dendritic"
"164",164,"SRR10780985","Tcell"
"165",165,"SRR10780990","Macrophage"
"166",166,"SRR10781000","Macrophage"
"167",167,"SRR10781030","Macrophage"
"168",168,"SRR10781040","Bcell_Mem"
"169",169,"SRR10781045","Bcell_PB"
"170",170,"SRR10781055","Tcell"
"171",171,"SRR10781145","Macrophage"
"172",172,"SRR10781150","Bcell_PB"
"173",173,"SRR10781195","Tcell"
"174",174,"SRR10781245","Tcell"
"175",175,"SRR10781310","Neutrophils"
"176",176,"SRR10781355","Tcell"
"177",177,"SRR10781390","Tcell"
"178",178,"SRR10781425","Neutrophils"
"179",179,"SRR10781460","Tcell"
"180",180,"SRR10781470","Tcell"
"181",181,"SRR10781495","Tcell"
"182",182,"SRR10781515","Macrophage"
"183",183,"SRR10781535","Bcell_PB"
"184",184,"SRR10781575","Bcell_Mem"
"185",185,"SRR10781595","Dendritic"
"186",186,"SRR10781635","Bcell_Mem"
"187",187,"SRR10781640","Tcell"
"188",188,"SRR10781655","Macrophage"
"189",189,"SRR10781660","Tcell"
"190",190,"SRR10781740","Tcell"
"191",191,"SRR10781830","Bcell_PB"
"192",192,"SRR10781840","Bcell_PB"
"193",193,"SRR10781935","Bcell"
"194",194,"SRR10781950","Macrophage"
"195",195,"SRR10781975","Bcell_PB"
"196",196,"SRR10782005","Bcell_Mem"
"197",197,"SRR10782030","Tcell"
"198",198,"SRR10782035","Bcell_PB"
"199",199,"SRR10782040","Macrophage"
"200",200,"SRR10782085","Macrophage"
"201",201,"SRR10782125","pDCs"
"202",202,"SRR10782175","Neutrophils"
"203",203,"SRR10782190","Macrophage"
"204",204,"SRR10782210","Macrophage"
"205",205,"SRR10782230","Bcell_PB"
"206",206,"SRR10782270","Macrophage"
"207",207,"SRR10782280","Tcell"
"208",208,"SRR10782290","Bcell_Mem"
"209",209,"SRR10782295","Macrophage"
"210",210,"SRR10782310","Bcell_PB"
"211",211,"SRR10782335","Tcell"
"212",212,"SRR10782345","Bcell_Mem"
"213",213,"SRR10782355","Tcell"
"214",214,"SRR10782385","Macrophage"
"215",215,"SRR10782410","Tcell"
"216",216,"SRR10782420","Tcell"
"217",217,"SRR10782425","Macrophage"
"218",218,"SRR10782430","Tcell"
"219",219,"SRR10782445","Macrophage"
"220",220,"SRR10782460","Macrophage"
"221",221,"SRR10782470","Tcell"
"222",222,"SRR10782475","Dendritic"
"223",223,"SRR10782555","Tcell"
"224",224,"SRR10782595","Macrophage"
"225",225,"SRR10782605","Mast"
"226",226,"SRR10782610","Bcell"
"227",227,"SRR10782650","Macrophage"
"228",228,"SRR10782670","Tcell"
"229",229,"SRR10782695","Macrophage"
"230",230,"SRR10782715","Bcell_Mem"
"231",231,"SRR10782755","Tcell"
"232",232,"SRR10782760","Macrophage"
"233",233,"SRR10782780","Macrophage"
"234",234,"SRR10782805","Macrophage"
"235",235,"SRR10782835","Macrophage"
"236",236,"SRR10782895","Macrophage"
"237",237,"SRR10782915","Tcell"
"238",238,"SRR10782970","Tcell"
"239",239,"SRR10782985","Macrophage"
"240",240,"SRR10782990","Tcell"
"241",241,"SRR10783065","Macrophage"
"242",242,"SRR10783120","Bcell_PB"
"243",243,"SRR10783130","Bcell_Mem"
"244",244,"SRR10783145","Macrophage"
"245",245,"SRR10783155","Tcell"
"246",246,"SRR10783170","Tcell"
"247",247,"SRR10783180","Bcell_PB"
"248",248,"SRR10783220","Tcell"
"249",249,"SRR10783245","Tcell"
"250",250,"SRR10783260","Macrophage"
"251",251,"SRR10783285","Bcell_PB"
"252",252,"SRR10783320","Macrophage"
"253",253,"SRR10783350","Macrophage"
"254",254,"SRR10783360","Bcell_PB"
"255",255,"SRR10783365","Tcell"
"256",256,"SRR10783395","Tcell"
"257",257,"SRR10783405","Tcell"
"258",258,"SRR10783415","Bcell_Mem"
"259",259,"SRR10783450","Tcell"
"260",260,"SRR10783465","Tcell"
"261",261,"SRR10783480","Dendritic"
"262",262,"SRR10783500","Bcell_PB"
"263",263,"SRR10783525","Tcell"
"264",264,"SRR10783530","Macrophage"
"265",265,"SRR10783540","Tcell"
"266",266,"SRR10783545","Bcell_Mem"
"267",267,"SRR10783560","Tcell"
"268",268,"SRR10783565","Macrophage"
"269",269,"SRR10783580","Tcell"
"270",270,"SRR10783585","Bcell"
"271",271,"SRR10783595","Mast"
"272",272,"SRR10783620","Macrophage"
"273",273,"SRR10783650","Bcell_PB"
"274",274,"SRR10783660","Neutrophils"
"275",275,"SRR10783665","Macrophage"
"276",276,"SRR10783705","pDCs"
"277",277,"SRR10783765","Macrophage"
"278",278,"SRR10783775","Bcell_PB"
"279",279,"SRR10783780","Tcell"
